Country,Population,Area_km2
India,1450000000,3287000
China,1419000000,9597000
United States,345000000,9834000
Indonesia,283000000,1905000
Pakistan,251000000,882000
Nigeria,233000000,924000
Brazil,212000000,8516000
Bangladesh,174000000,148000
Russia,145000000,17098000
Ethiopia,132000000,1104000
Mexico,131000000,1964000
Japan,124000000,378000
Egypt,117000000,1002000
Philippines,116000000,300000
DR Congo,109000000,2345000
Vietnam,101000000,331000
Iran,92000000,1648000
Turkey,87000000,784000
Germany,84000000,358000
Thailand,72000000,513000
